Datum,Wochentag,DatumNEU,KW,Std.,Log,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,Menge Gesamt (Stück),Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Fehlercode,Sollzeit/ Stück (Min),Takt Gesamt,Leistung Sollzeit zu Gesamtzeit,Anlagen-Laufzeit (- Org-Mangel),Takt Gesamt2,Leistung Anlage inkl. Anl. ausfall,Anlagen-Laufzeit (- Anlagen-ausfall),Takt Gesamt3,Leistung eff. Anlage ohne Anl.-Ausfall,Produktionszeit(min)/ Std.,Takt Gesamt4,Leistung inkl. defizite,Unnamed: 36,Zeit_von_min,Zeit_bis_min,Bemerkung_norm,Bemerkung_std
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,06:00:00,07:00:00,60.00000000000003,5.0,,,6.0,6.0,,5.0,,,,R06,Probleme mit Kontaktrohr ( Draht festgeschweißt ),,,8.5,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,55.00000000000003,9.166666666666671,0.9272727272727268,55.00000000000003,9.166666666666671,0.9272727272727268,0.0,360.0,420.0,probleme mit kontaktrohr ( draht festgeschweißt ),probleme mit kontaktrohr ( draht festgeschweißt )
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,18.0,,,,OP.50,Fehler Schrittkette ( Robotech informiert ),,,,,,,,,,,,,,,0.0,,,fehler schrittkette ( robotech informiert ),fehler schrittkette ( robotech informiert )
,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,04:45:00,06:00:00,75.00000000000001,5.0,,,6.0,6.0,,15.0,,,,,Wartungsplan,,,8.5,12.500000000000002,0.6799999999999999,75.00000000000001,12.500000000000002,0.6799999999999999,60.000000000000014,10.000000000000002,0.8499999999999999,60.000000000000014,10.000000000000002,0.8499999999999999,0.0,285.0,360.0,wartungsplan,wartungsplan
,3,2023-03-30,2023/13,,,,,,0.0,,,,,,,,,,,,,,,8.5,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,15.0,,,Reinigen,,,,,,,,,,,,,,,0.0,,,reinigen,reinigen
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,s,21:00:00,21:45:00,45.0,5.0,,1,2.0,3.0,,,,,,,,,,8.5,15.0,0.5666666666666667,45.0,15.0,0.5666666666666667,30.0,10.0,0.85,30.0,10.0,0.85,0.0,1260.0,1305.0,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,10.0,,,,,"Bedienerschutz ausgelöst, Folgestörungen beheben",,,,,,,,,,,,,,,0.0,,,"bedienerschutz ausgelöst, folgestörungen beheben","bedienerschutz ausgelöst, folgestörungen beheben"
