Datum,Wochentag,KW,DatumNEU,Jahr,Monat,Tag,Quartal,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,MengeGesamtNIO,Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Sollzeit/ Stück (Min),Zeit_von_min,Zeit_bis_min,Station/ OP_raw,Station/ OP_1,Station/ OP_2,Fehlercode,Bemerkung_norm,Bemerkung_std,Störfall,Anzahl Störfälle Zeitfenster
2025-01-22,3,2025/04,2025-01-22,2025,1,22,1,s,20:00:00,21:00:00,60.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,R 06,Drahtfass wechseln,0.0,,1200.0,1260.0,R 06,R 06,,,drahtfass wechseln,drahtfass wechseln,J,1
2025-01-22,3,2025/04,2025-01-22,2025,1,22,1,s,21:00:00,21:45:00,45.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,0.0,,Werkzeug einschließen und Reinigung,0.0,,1260.0,1305.0,,,,,werkzeug einschließen und reinigung,werkzeug einschließen und reinigung,J,1
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,04:45:00,06:00:00,75.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,,285.0,360.0,,,,,wartungsplan,wartungsplan,J,1
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,06:00:00,07:00:00,60.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,360.0,420.0,,,,,,,N,0
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,07:00:00,08:00:00,60.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,420.0,480.0,,,,,,,N,0
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,08:00:00,09:00:00,60.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,480.0,540.0,,,,,,,N,0
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,09:30:00,10:00:00,30.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,570.0,600.0,,,,,,,N,0
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,10:00:00,11:00:00,60.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,600.0,660.0,,,,,,,N,0
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,11:00:00,12:00:00,60.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,12.0,0.0,0.0,,Kratzer in Stw nacharbeiten,0.0,,660.0,720.0,,,,,kratzer in stw nacharbeiten,kratzer in stw nacharbeiten,J,2
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,11:00:00,12:00:00,60.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,Excenterschleifer defekt. Von StwEr geholt,0.0,,660.0,720.0,,,,,excenterschleifer defekt. von stwer geholt,excenterschleifer defekt. von stwer geholt,J,2
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,f,12:00:00,13:15:00,75.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.0,0.0,,Reinigung,0.0,,720.0,795.0,,,,,reinigung,reinigung,J,1
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,s,13:15:00,14:00:00,45.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,,795.0,840.0,,,,,wartungsplan,wartungsplan,J,1
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,s,14:00:00,15:00:00,60.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,840.0,900.0,,,,,,,N,0
2025-01-23,4,2025/04,2025-01-23,2025,1,23,1,s,15:00:00,16:00:00,60.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,900.0,960.0,,,,,,,N,0
